,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3807,7Hbj2u6h9uMLdPRRuWRV8H,I Hear You,Vicetone,0,2017-06-21,0.541,0.751,8,-3.093,0,0.233,0.000862,0.12,0.422,118.035,158894,4
3808,4kE7Mphx5sc7KeWwN95OZr,Homegrown - Thomas Jack Remix,Thomas Jack,0,2017-06-30,0.679,0.736,6,-9.721,0,0.00122,0.758,0.109,0.0393,120.008,308000,4
3809,56PvEi92Ao6r8zs18TgM9E,Free,MureKian,32,2017-06-19,0.74,0.978,7,-3.514,1,0.0718,0.0438,0.346,0.331,126.066,169758,4
3810,6cbENtXi4uSoraDT3EuDvL,The Game,Jauz,36,2017-03-17,0.66,0.946,1,-4.513,0,0.00292,0.783,0.0934,0.1,124.999,250560,4
3811,3ANKZ1tJoxuEE0d8Irncl3,Shingaling,Tom Swoon,0,2017-06-19,0.665,0.763,3,-5.868,1,0.00465,0.00215,0.246,0.381,125.058,153600,4
3812,7hU38LHqMSPFrvoqADFJp4,Chicken Soup,Habstrakt,56,2017-05-05,0.823,0.815,11,-3.947,1,0.00129,0.0494,0.599,0.474,125.989,207293,4
3813,5M3CGMH0Cm1cNFA36XsSRI,Feel (feat. Danél),Danél,30,2017-06-04,0.487,0.675,8,-5.839,0,0.0517,0.0382,0.101,0.166,144.951,237931,4
3814,4R83vyqZAR3ZVotFnwMa4r,Gotta Know,Andy Bianchini,36,2017-06-16,0.638,0.881,3,-4.157,0,0.0155,0.0158,0.24,0.207,124.976,220800,4
3815,491TxkFmouTdVqwJTY7UG6,Futurism,Keeno,32,2016-02-26,0.254,0.741,9,-7.852,0,0.0411,0.961,0.0735,0.0314,175.053,315190,4
3816,0gvBhVqHujoQaP4DHUUJpQ,Possession,KUURO,0,2017-05-19,0.602,0.94,4,-5.083,0,0.0433,0.00158,0.108,0.185,112.033,214286,4
